Cargo;Especialidade;CLT;PJ
AD Adm. de Dados;;8.277;10.599
Adm. Cloud;;6.235;7.208
Adm. de rede;;5.729;7.225
Adm. De Sistemas / Aplicações;;6.903;8.415
Agile Coach;;13.899;15.996
Agile Master;;14.197;16.272
Analista de Aplicações;;5.446;6.278
Analista de dados;;7.434;8.953
Analista de Governança;;5.247;6.018
Analista de Implantação;;4.701;5.500
Analista de Infraestrutura;;5.328;6.329
Analista de Integração;;6.292;7.509
Analista de monitoramento;;2.938;3.254
Analista de Negócios;;7.923;11.731
Analista de processos;;7.601;9.335
Analista de produção;;4.393;5.103
Analista de Projetos;;7.191;9.467
Analista de Qualidade;;7.195;9.787
Analista de Requisitos;;7.893;10.498
Analista de segurança;;8.027;10.576
Analista de sistemas;Mainframe;7.258;8.742
Analista de sistemas;C#;8.019;10.385
Analista de sistemas;Java;10.264;15.036
Analista de sistemas;PHP;5.632;7.212
Analista de sistemas;Oracle PL/SQL;8.607;10.469
Analista de Suporte;Mainframe;6.078;6.909
Analista de Suporte;Unix;5.620;6.542
Analista de Suporte;ERP;4.579;5.349
Analista de Suporte;Redes;4.052;5.309
Analista de Suporte;Windows;3.413;4.165
Analista de Suporte;Linux;3.651;3.903
Analista de Telecomunicações;;4.343;5.472
Analista de testes;;5.618;8.270
Analista Funcional;;8.100;10.476
Analista Microinformática;;2.701;3.204
Analista Programador;C#;7.828;10.542
Analista Programador;Java;8.688;11.413
Analista Programador;Cobol;5.813;7.684
Analista Programador;PHP;4.773;5.924
Analista Programador;C++;6.828;8.653
Analista Programador;ABAP;8.935;12.184
Analista Programador;Python;5.753;7.606
Analista Programador;Oracle PL/SQL;7.768;10.231
Analista Cibersegurança;;11.673;14.575
Arquiteto de Sistemas;;12.247;15.390
Arquiteto Cloud;;11.775;15.003
Assistente de Informática;;2.047;
Auditor de Sistemas;;5.238;7.200
Cientista de dados;;14.525;18.322
Consultor ERP;;12.168;18.002
Consultor especialista;;10.686;13.539
Coordenador de projetos;;12.865;16.164
Coordenador de Suporte;;7.052;9.523
Coordenador de testes;;8.962;11.982
DBA Adm. Base de Dados;;8.500;11.118
Desenvolvedor Full-Stack;;9.633;13.701
Desenvolvedor Front-End;;6.501;8.776
Desenvolvedor Back-End;;7.201;9.865
Engenheiro de Software;;10.563;13.632
Engenheiro de dados;;9.728;13.222
Estagiário;;1.757;
Gerente de Contas;;9.826;11.017
Gerente de operação;;11.832;13.715
Gerente de Projetos PMO;;14.488;16.703
Gerente de Produto PO;;10.673;13.668
Gerente de TI;;18.803;21.007
Gerente de Infraestrutura;;12.902;15.061
Instrutor;;2.654;3.695
Lider de Projetos;;12.053;16.175
Lider Técnico;;12.171;16.020
Operador / Scheduller;;3.131;3.852
Programador;C#;5.730;7.751
Programador;Java;7.098;9.651
Programador;PHP;4.209;5.723
Programador;Ruby;4.956;6.591
Programador;PL/SQL;5.667;7.650
Programador;ABAP;7.778;10.789
Programador;ADVPL;4.272;5.701
Programador;Java Script;3.406;4.253
Programador;Phyton;5.365;6.631
Recrutador(a) RH para TI;;4.245;5.795
Tecnico de Suporte;;2.522;3.476
Web Designer;;3.938;5.138
