Cargo;Especialidade;CLT;PJ
AD Adm. de Dados;;8.638;11.207
Adm. Cloud;;6.547;7.592
Adm. de rede;;6.033;7.714
Adm. De Sistemas / Aplicações;;7.204;8.888
Agile Coach;;14.548;17.086
Agile Master;;14.863;17.084
Analista de Aplicações;;5.733;6.682
Analista de dados;;7.927;9.650
Analista de Governança;;5.497;6.457
Analista de Implantação;;4.933;5.791
Analista de Infraestrutura;;5.562;6.603
Analista de Integração;;6.693;8.068
Analista de monitoramento;;3.107;3.423
Analista de Negócios;;8.244;12.291
Analista de processos;;7.996;9.765
Analista de produção;;4.628;5.350
Analista de Projetos;;7.632;9.859
Analista de Qualidade;;7.607;10.294
Analista de Requisitos;;8.352;11.169
Analista de segurança;;8.468;11.151
Analista de sistemas;Mainframe;7.716;9.168
Analista de sistemas;C#;8.537;11.028
Analista de sistemas;Java;10.945;15.783
Analista de sistemas;PHP;5.923;7.753
Analista de sistemas;Oracle PL/SQL;9.169;11.107
Analista de Suporte;Mainframe;6.359;7.328
Analista de Suporte;Unix;5.922;6.843
Analista de Suporte;ERP;4.826;5.690
Analista de Suporte;Redes;4.307;5.671
Analista de Suporte;Windows;3.627;4.348
Analista de Suporte;Linux;3.842;4.197
Analista de Telecomunicações;;4.547;5.872
Analista de testes;;5.875;8.612
Analista Funcional;;8.556;10.956
Analista Microinformática;;2.845;3.353
Analista Programador;C#;8.210;11.175
Analista Programador;Java;9.148;12.132
Analista Programador;Cobol;6.146;7.993
Analista Programador;PHP;5.011;6.210
Analista Programador;C++;7.221;9.128
Analista Programador;ABAP;9.384;13.111
Analista Programador;Python;6.139;8.165
Analista Programador;Oracle PL/SQL;8.171;10.653
Analista Cibersegurança;;12.189;15.282
Arquiteto de Sistemas;;12.778;16.386
Arquiteto Cloud;;12.343;16.160
Assistente de Informática;;2.174;
Auditor de Sistemas;;5.562;7.753
Cientista de dados;;15.362;19.110
Consultor ERP;;12.981;19.298
Consultor especialista;;11.133;14.404
Coordenador de projetos;;13.377;17.363
Coordenador de Suporte;;7.342;9.936
Coordenador de testes;;9.460;12.864
DBA Adm. Base de Dados;;8.977;11.665
Desenvolvedor Full-Stack;;10.274;14.634
Desenvolvedor Front-End;;6.879;9.362
Desenvolvedor Back-End;;7.685;10.321
Engenheiro de Software;;11.070;14.665
Engenheiro de dados;;10.148;14.087
Estagiário;;1.740;
Gerente de Contas;;10.337;11.475
Gerente de operação;;12.439;14.328
Gerente de Projetos PMO;;15.342;17.545
Gerente de Produto PO;;11.370;14.286
Gerente de TI;;19.765;22.185
Gerente de Infraestrutura;;13.538;16.103
Instrutor;;2.820;3.974
Lider de Projetos;;12.604;17.101
Lider Técnico;;12.719;17.094
Operador / Scheduller;;3.266;4.117
Programador;C#;6.057;8.155
Programador;Java;7.387;10.088
Programador;PHP;4.426;6.112
Programador;Ruby;5.263;7.042
Programador;PL/SQL;5.902;8.139
Programador;ABAP;8.126;11.531
Programador;ADVPL;4.455;5.970
Programador;Java Script;3.575;4.555
Programador;Phyton;5.627;7.074
Recrutador(a) RH para TI;;4.412;6.160
Tecnico de Suporte;;2.653;3.654
Web Designer;;4.180;5.361
